ID,LLM,LLM Duration,Request Duration,Websites Checked,Website Max Length,Website Reduced Length,Token Count,Provider URL,Provider Name,Room Name,Description,Min Players,Max Players,Duration,Booking URL,Detail Page URL,Image URL,Genre,Difficulty,Token Limit Reached,Error
0,gpt-4o-mini,18.240393167s,46.592313708s,7,960731,379003,184664,https://final-escape.com/berlin/,Final Escape Berlin,Blutiges Erwachen,"Eine blutige und spannende Herausforderung, die Teamarbeit und Geschicklichkeit erfordert.",3,6,60,https://final-escape.com/berlin/live-escape-game-blutiges-erwachen/#fe-buchen,https://final-escape.com/berlin/live-escape-game-blutiges-erwachen/,https://final-escape.com/berlin/wp-content/uploads/sites/6/2020/08/blutiges_erwachen.jpg,Horror,schwer,false,"ChatCompletion error: error, status code: 400, message: This model's maximum context length is 128000 tokens. However, your messages resulted in 184664 tokens (184330 in the messages, 334 in the functions). Please reduce the length of the messages or functions."
0,gpt-4o-mini,18.240393167s,46.592313708s,7,960731,379003,184664,https://final-escape.com/berlin/,Final Escape Berlin,Prison Break,"Ein spannendes Ausbruchspiel, bei dem du mit bis zu 6 Personen einen Weg aus der Zelle finden musst.",2,6,60,https://final-escape.com/berlin/live-escape-game-prison-break-2/#fe-buchen,https://final-escape.com/berlin/live-escape-game-prison-break-2/,https://final-escape.com/berlin/wp-content/uploads/sites/6/2020/08/prison_break.jpg,Crime,mittel,false,"ChatCompletion error: error, status code: 400, message: This model's maximum context length is 128000 tokens. However, your messages resulted in 184664 tokens (184330 in the messages, 334 in the functions). Please reduce the length of the messages or functions."
0,gpt-4o-mini,18.240393167s,46.592313708s,7,960731,379003,184664,https://final-escape.com/berlin/,Final Escape Berlin,The Puppeteer,"Willkommen in der Welt des Puppenspielers, wo nichts ist, wie es scheint!",2,6,60,https://final-escape.com/berlin/live-escape-game-the-puppeteer/#fe-buchen,https://final-escape.com/berlin/live-escape-game-the-puppeteer/,https://final-escape.com/berlin/wp-content/uploads/sites/6/2020/08/the_puppeteer.jpg,Fantasy,mittel,false,"ChatCompletion error: error, status code: 400, message: This model's maximum context length is 128000 tokens. However, your messages resulted in 184664 tokens (184330 in the messages, 334 in the functions). Please reduce the length of the messages or functions."
0,gpt-4o-mini,18.240393167s,46.592313708s,7,960731,379003,184664,https://final-escape.com/berlin/,Final Escape Berlin,Robot Paranoia,"Eine futuristische Herausforderung, bei der du gegen eine KI antreten musst.",2,6,60,https://final-escape.com/berlin/live-escape-game-robot-paranoia/#fe-buchen,https://final-escape.com/berlin/live-escape-game-robot-paranoia/,https://final-escape.com/berlin/wp-content/uploads/sites/6/2020/08/robot_paranoia.jpg,Science Fiction,schwer,false,"ChatCompletion error: error, status code: 400, message: This model's maximum context length is 128000 tokens. However, your messages resulted in 184664 tokens (184330 in the messages, 334 in the functions). Please reduce the length of the messages or functions."
0,gpt-4o-mini,18.240393167s,46.592313708s,7,960731,379003,184664,https://final-escape.com/berlin/,Final Escape Berlin,Last Human,In einer post-apokalyptischen Welt kämpfst du ums Überleben.,2,5,60,https://final-escape.com/berlin/live-escape-game-last-human/#fe-buchen,https://final-escape.com/berlin/live-escape-game-last-human/,https://final-escape.com/berlin/wp-content/uploads/sites/6/2020/08/last_human.jpg,Science Fiction,schwer,false,"ChatCompletion error: error, status code: 400, message: This model's maximum context length is 128000 tokens. However, your messages resulted in 184664 tokens (184330 in the messages, 334 in the functions). Please reduce the length of the messages or functions."
0,gpt-4o-mini,18.240393167s,46.592313708s,7,960731,379003,184664,https://final-escape.com/berlin/,Final Escape Berlin,Das Geisterschiff,Erforsche ein Geisterschiff und deren Geheimnisse.,2,6,60,https://final-escape.com/berlin/live-escape-game-ghost-ship/#fe-buchen,https://final-escape.com/berlin/live-escape-game-ghost-ship/,https://final-escape.com/berlin/wp-content/uploads/sites/6/2020/08/ghost_ship.jpg,Horror,mittel-schwer,false,"ChatCompletion error: error, status code: 400, message: This model's maximum context length is 128000 tokens. However, your messages resulted in 184664 tokens (184330 in the messages, 334 in the functions). Please reduce the length of the messages or functions."
1,gpt-4o-mini,25.242109583s,38.377844875s,4,2036865,120588,63626,https://www.60-minutes.de/,60 MINUTES,DIE EXPEDITION,"Entflieht auf die spannende Expedition, wo Geheimnisse und Herausforderungen auf dich warten. Schärfe deine Sinne und finde die Hinweise, um die Herausforderung zu meistern. Ideal für Gruppen.",2,7,60,https://www.60-minutes.de/buchung,https://www.60-minutes.de/expedition,"https://static.wixstatic.com/media/dda0bb_35bbc05cb880496f84e834755070a165~mv2.jpg/v1/fill/w_298,h_398,q_90/dda0bb_35bbc05cb880496f84e834755070a165~mv2.jpg",Adventure,Medium,false,
1,gpt-4o-mini,25.242109583s,38.377844875s,4,2036865,120588,63626,https://www.60-minutes.de/,60 MINUTES,LAGERHAUS 57,"Im Lagerhaus 57 erwartet dich eine mysteriöse Herausforderung, bei der du und dein Team knifflige Rätsel lösen müsst. Zeigt euren Scharfsinn in dieser packenden Atmosphäre.",2,7,60,https://www.60-minutes.de/buchung,https://www.60-minutes.de/lagerhaus-57,"https://static.wixstatic.com/media/dda0bb_c8dd7bf140c64370af31ad2f4e69ac29~mv2.jpg/v1/fill/w_298,h_398,q_90/dda0bb_c8dd7bf140c64370af31ad2f4e69ac29~mv2.jpg",Crime,Hard,false,
1,gpt-4o-mini,25.242109583s,38.377844875s,4,2036865,120588,63626,https://www.60-minutes.de/,60 MINUTES,GEISTERSTUNDE,"In der Geisterstunde geht es darum, die Geheimnisse aus der Vergangenheit zu lüften. Mit Mut und Teamarbeit könnt ihr die Rätsel lösen und die Geister vertreiben.",2,7,60,https://www.60-minutes.de/buchung,https://www.60-minutes.de/geisterstunde,"https://static.wixstatic.com/media/dda0bb_175f7d16f1084adfb818522b29eaa735~mv2.jpg/v1/fill/w_298,h_398,q_90/dda0bb_175f7d16f1084adfb818522b29eaa735~mv2.jpg",Horror,Medium,false,
2,gpt-4o-mini,19.660761249s,29.069219833s,4,707359,89827,38328,https://www.4walls-escape.com/,4Walls Escape,The Heist,"Reveal as a team of investigators the most spectacular art theft in criminal history! Why does the ""Portrait of a Woman"" turn up again now - after 20 years?",2,6,120,https://www.4walls-escape.com/the-heist,https://www.4walls-escape.com/the-heist,https://www.4walls-escape.com/img/game-11/teaser.jpg,Crime,4/5,false,
