ID,LLM,LLM Duration,Request Duration,Websites Checked,Website Max Length,Website Reduced Length,Provider URL,Provider Name,Room Name,Description,Min Players,Max Players,Duration,Booking URL,Detail Page URL,Image URL,Genre,Difficulty,Token Limit Reached,Error
0,mistral-large-2407,1m18.893888291s,1m34.1463375s,2,172506,66483,https://final-escape.com/berlin/,Final Escape Berlin,,,0,0,0,,,,,,false,
1,mistral-large-2407,29.231031417s,36.075507167s,2,733874,45585,https://www.60-minutes.de/,60 MINUTES,DIE EXPEDITION,,0,0,0,https://www.60-minutes.de/buchung,https://www.60-minutes.de/expedition,"https://static.wixstatic.com/media/dda0bb_35bbc05cb880496f84e834755070a165~mv2.jpg/v1/fill/w_298,h_398,q_90/dda0bb_35bbc05cb880496f84e834755070a165~mv2.jpg",Adventure,,false,
1,mistral-large-2407,29.231031417s,36.075515s,2,733874,45585,https://www.60-minutes.de/,60 MINUTES,LAGERHAUS 57,,0,0,0,https://www.60-minutes.de/buchung,https://www.60-minutes.de/lagerhaus-57,"https://static.wixstatic.com/media/dda0bb_c8dd7bf140c64370af31ad2f4e69ac29~mv2.jpg/v1/fill/w_298,h_398,q_90/dda0bb_c8dd7bf140c64370af31ad2f4e69ac29~mv2.jpg",Adventure,,false,
1,mistral-large-2407,29.231031417s,36.075516s,2,733874,45585,https://www.60-minutes.de/,60 MINUTES,GEISTERSTUNDE,,0,0,0,https://www.60-minutes.de/buchung,https://www.60-minutes.de/geisterstunde,"https://static.wixstatic.com/media/dda0bb_175f7d16f1084adfb818522b29eaa735~mv2.jpg/v1/fill/w_298,h_398,q_90/dda0bb_175f7d16f1084adfb818522b29eaa735~mv2.jpg",Adventure,,false,
2,mistral-large-2407,22.94321875s,27.543474666s,2,193837,31959,https://www.4walls-escape.com/,4Walls Escape,Mysterious Crime,It starts with a “harmless” burglary but unravels something much bigger: a hidden family secret whose uncovering will draw you in deep.,2,6,150,https://www.4walls-escape.com/mysterious-crime,https://www.4walls-escape.com/mysterious-crime,https://www.4walls-escape.com/img/game-3/teaser.jpg.jpg,Crime,4/5,false,
2,mistral-large-2407,22.94321875s,27.543501125s,2,193837,31959,https://www.4walls-escape.com/,4Walls Escape,The Heist,"As a team of investigators, you reveal the most spectacular art theft in criminal history. Why does the &#34;Portrait of a Woman&#34; turns up again now - after 20 years?",2,6,120,https://www.4walls-escape.com/the-heist,https://www.4walls-escape.com/the-heist,https://www.4walls-escape.com/img/game-11/teaser.jpg.jpg,Crime,4/5,false,
2,mistral-large-2407,22.94321875s,27.543501333s,2,193837,31959,https://www.4walls-escape.com/,4Walls Escape,The Hunt,"Unprecedented state of emergency - everyone has to deal with these new challenges. Embark on a “puzzling” quest filled with adventure and danger, along the way.",2,6,90,https://www.4walls-escape.com/the-hunt,https://www.4walls-escape.com/the-hunt,https://www.4walls-escape.com/img/game-4/teaser.jpg.jpg,Crime,3/5,false,
3,mistral-large-2407,31.227271875s,36.606761s,2,86757,8856,https://www.adventurerooms.de/,Adventure Rooms,Dresden Airport,Art GalleryMafia,2,6,60,https://www.adventurerooms.de/airlines,https://www.adventurerooms.de/airlines,https://www.adventurerooms.de/germany/wp-content/uploads/AdventureRooms-Airlines-Exit-Room.jpg,Adventure,Easy,false,
3,mistral-large-2407,31.227271875s,36.60691625s,2,86757,8856,https://www.adventurerooms.de/,Adventure Rooms,Cologne,Black QueenHennes (New!)Swiss Original Game,2,6,60,http://www.adventurerooms-koeln.de/en,http://www.adventurerooms-koeln.de/en,https://www.adventurerooms.de/germany/wp-content/uploads/Exit-Room-Koeln.jpg,Adventure,Medium,false,
3,mistral-large-2407,31.227271875s,36.606917416s,2,86757,8856,https://www.adventurerooms.de/,Adventure Rooms,Munich,AliceBlack QueenMafiaSwiss Original GameWorld Trip,2,6,60,http://www.adventurerooms-munich.de/,http://www.adventurerooms-munich.de/,https://www.adventurerooms.de/germany/wp-content/uploads/Exit-Room-Muenchen.jpg,Adventure,Hard,false,
3,mistral-large-2407,31.227271875s,36.606917541s,2,86757,8856,https://www.adventurerooms.de/,Adventure Rooms,Hamburg,DreamlikeSwiss Original GameThe crazy Professor,2,6,60,https://www.adventurerooms.de/hamburg/,https://www.adventurerooms.de/hamburg/,https://www.adventurerooms.de/germany/wp-content/uploads/Exit-Room-Hamburg.jpg,Adventure,Easy,false,
3,mistral-large-2407,31.227271875s,36.606917625s,2,86757,8856,https://www.adventurerooms.de/,Adventure Rooms,On Tour,The Busride,2,6,60,https://www.adventurerooms.de/bus,https://www.adventurerooms.de/bus,https://www.adventurerooms.de/germany/wp-content/uploads/AdventureRooms-Bus-On-Tour.jpg,Adventure,Medium,false,
3,mistral-large-2407,31.227271875s,36.606917708s,2,86757,8856,https://www.adventurerooms.de/,Adventure Rooms,Magdeburg,NEU ab 2022,2,6,60,https://www.adventurerooms.de/magdeburg/,https://www.adventurerooms.de/magdeburg/,https://www.adventurerooms.de/germany/wp-content/uploads/Exit-Room-Magdeburg.jpg,Adventure,Hard,false,
4,mistral-large-2407,9.085691832s,15.792151125s,2,250112,40769,https://www.adventure-team.eu/,Adventure Team,Example Escape Room,This is a description of the escape room.,2,6,60,https://www.example.com,https://www.example.com,https://www.example.com/image.png,Adventure,Easy,false,
5,mistral-large-2407,2m32.813655332s,3m29.718256125s,2,181844,30475,https://www.escaperooms-neu-ulm.de/,Escape Rooms Neu Ulm,Atlantis,Atlantis,0,0,0,https://flexybook.flexybox.com/neu-ulm/Offer,https://escaperooms-neu-ulm.de/rooms/atlantis/,https://u.jimcdn.com/cms/o/sf6a26418ef107d41/userlayout/img/raum1.png,Adventure,,false,
5,mistral-large-2407,2m32.813655332s,3m29.718270916s,2,181844,30475,https://www.escaperooms-neu-ulm.de/,Escape Rooms Neu Ulm,Upside Down,Upside Down,0,0,0,https://flexybook.flexybox.com/neu-ulm/Offer,https://escaperooms-neu-ulm.de/rooms/upside-down/,https://u.jimcdn.com/cms/o/sf6a26418ef107d41/userlayout/img/raum7b.png,Adventure,,false,
5,mistral-large-2407,2m32.813655332s,3m29.718271125s,2,181844,30475,https://www.escaperooms-neu-ulm.de/,Escape Rooms Neu Ulm,Tempel der Azteken,Tempel der Azteken,0,0,0,https://flexybook.flexybox.com/neu-ulm/Offer,https://escaperooms-neu-ulm.de/rooms/tempel-der-azteken/,https://u.jimcdn.com/cms/o/sf6a26418ef107d41/userlayout/img/raum3.png,Adventure,,false,
5,mistral-large-2407,2m32.813655332s,3m29.718271291s,2,181844,30475,https://www.escaperooms-neu-ulm.de/,Escape Rooms Neu Ulm,Hostel*NEU* *NEU*,Hostel,0,0,0,https://flexybook.flexybox.com/neu-ulm/Offer,https://https://www.escaperooms-neu-ulm.de/rooms/hostel/,https://u.jimcdn.com/cms/o/sf6a26418ef107d41/userlayout/img/raum8a.png,Adventure,,false,
5,mistral-large-2407,2m32.813655332s,3m29.7182715s,2,181844,30475,https://www.escaperooms-neu-ulm.de/,Escape Rooms Neu Ulm,Dracula,Dracula,0,0,0,https://flexybook.flexybox.com/neu-ulm/Offer,https://https://www.escaperooms-neu-ulm.de/rooms/dracula/,https://u.jimcdn.com/cms/o/sf6a26418ef107d41/userlayout/img/raum6.png,Adventure,,false,
6,mistral-large-2407,0s,13.050526625s,0,0,0,https://adventurebox-karlsruhe.de/,Adventurebox Escape Room,,,0,0,0,,,,,,false,failed to navigate: failed to wait for page to load: context deadline exceeded
7,mistral-large-2407,1m31.22084075s,1m42.506912s,4,610509,81892,https://planet-escape-nidda.de/,Planet Escape Room Nidda,,,0,0,0,,,,,,false,
8,mistral-large-2407,4.685010042s,9.300372167s,2,30551,6844,https://www.escaperooms-ritterhude.de/,Escape Rooms Ritterhude,,,0,0,0,,https://www.example.com,,Adventure,,false,
8,mistral-large-2407,4.685010042s,9.300376958s,2,30551,6844,https://www.escaperooms-ritterhude.de/,Escape Rooms Ritterhude,,,0,0,0,,https://www.example.com,,Adventure,,false,
8,mistral-large-2407,4.685010042s,9.300377292s,2,30551,6844,https://www.escaperooms-ritterhude.de/,Escape Rooms Ritterhude,,,0,0,0,,https://www.example.com,,Adventure,,false,
9,mistral-large-2407,25.693326041s,36.437216667s,2,307657,29915,https://alfsee-escape.de/,Alfsee Escape - Indoor & Outdoor Escaperoom,,,0,0,0,,,,,,true,failed to unmarshal response: json: cannot unmarshal number into Go struct field Room.rooms.difficulty of type string
10,mistral-large-2407,54.855781416s,1m17.141724084s,5,299938,41372,https://www.raus.rocks/,Raus! Escape Room Aachen,Die Entdeckung,"Der etwas verschrobene, aber doch hochintelligente Dr. Noble hat eine große Entdeckung gemacht, die die Welt aus den Angeln heben könnte. Leider ist er unter mysteriösen Umständen verstorben, und nun ist es an Euch, seine größtes Vermächtnis zu bergen.",3,6,66,,https://www.raus.rocks/services/buchung-die-entdeckung/,https://www.raus.rocks/wp-content/uploads/2017/11/Escape-Room-Aachen-Die-Entdeckung-1168x658.jpg,Adventure,Difficulty,false,
10,mistral-large-2407,54.855781416s,1m17.141758042s,5,299938,41372,https://www.raus.rocks/,Raus! Escape Room Aachen,Aachen - Die letzte Zuflucht!,Es ist passiert – die Zombie-Apokalypse ist über uns gekommen. 93 Prozent der Weltbevölkerung wurde infiziert. Aachen ist eines der letzten Zufluchtsorte. Du hast dich durchgeschlagen und bist noch nicht infiziert? Beweise es … buche den Raum „Aachen – die letzte Zuflucht“ hier und komme zu uns in die Oppenhoffallee 115.,2,6,60,,https://www.raus.rocks/services/buchung-zuflucht/,https://www.raus.rocks/wp-content/uploads/2017/11/Escape-Room-Aachen-Die-Zuflucht-1-1168x658.jpg,Horror,Difficulty,false,
