ID,LLM,LLM Duration,Request Duration,Websites Checked,Website Max Length,Website Reduced Length,Provider URL,Provider Name,Room Name,Description,Min Players,Max Players,Duration,Booking URL,Detail Page URL,Image URL,Genre,Difficulty,Token Limit Reached,Error
0,gpt-4o-mini,37.060777544s,1m2.577902334s,7,982667,387508,https://final-escape.com/berlin/,Final Escape Berlin,Blutiges Erwachen,"Die verlassenen Lichtenstädter Kliniken am Rande der Stadt waren schon immer ein Gesprächsthema. Vor vielen Jahren wurden sie von zahlreichen Patienten aufgesucht, die auf die nicht immer konventionellen Methoden von Dr. George A . Raimi vertrauten. Seitdem ist es still um Dr. Raimi geworden. Jahrzehnte später macht sich eine kleine Gruppe von Urban Explorern auf den Weg zur Klinik, um die Geheimnisse dieses besonderen Ortes zu lüften.",3,6,60,/berlin/gutscheine/,https://final-escape.com/berlin/live-escape-game-blutiges-erwachen/,https://final-escape.com/berlin/wp-content/uploads/sites/6/2023/03/Blutiges-Erwachen-Final-Escape-Berlin-Header.jpg,Horror,schwer,true,"ChatCompletion error: error, status code: 400, message: This model's maximum context length is 128000 tokens. However, your messages resulted in 183808 tokens (183474 in the messages, 334 in the functions). Please reduce the length of the messages or functions."
0,gpt-4o-mini,37.060777544s,1m2.577903667s,7,982667,387508,https://final-escape.com/berlin/,Final Escape Berlin,Prison Break,"Das muss alles ein riesiges Missverständnis sein. In einer Nacht- und Nebel-Aktion wurdet ihr wach geklingelt, in Handschellen abgeführt und ohne Verhör in eine Zelle gesteckt. Was euch genau vorgeworfen wird, wisst ihr nicht. Ihr habt euch in den letzten Jahren nichts zu Schulden kommen lassen und ein eher unauffälliges Leben geführt. Nun seid ihr im Knast gelandet und eine Sache wird immer eindeutiger: So schnell werdet ihr hier nicht rauskommen. Ihr beginnt langsam die Hoffnung auf ein Leben in Freiheit zu verlieren, als ihr beim Mittagessen von Gerüchten hört, dass die Insassen, die vor euch in euren Zellen gewohnt haben, vor einigen Wochen ausgebrochen sind. Vielleicht ist doch nicht alles verloren – schließlich haben bereits andere Insassen vor euch den Weg in die Freiheit gefunden!",2,6,60,https://final-escape.com/berlin/gutscheine/,https://final-escape.com/berlin/live-escape-game-prison-break-2/,https://final-escape.com/berlin/wp-content/uploads/sites/6/2019/09/02PrisonBreak.jpg,Prison,mittel,true,"ChatCompletion error: error, status code: 400, message: This model's maximum context length is 128000 tokens. However, your messages resulted in 183808 tokens (183474 in the messages, 334 in the functions). Please reduce the length of the messages or functions."
0,gpt-4o-mini,37.060777544s,1m2.577912709s,7,982667,387508,https://final-escape.com/berlin/,Final Escape Berlin,The Puppeteer,"Im Steampunk-Universum genießt das Theater einen hohen Stellenwert. Das kulturelle Angebot ist vielseitig, doch mit besonderer Anerkennung rühmt sich die Puppenschauspielkunst. Als kultivierte Liebhaber des zeitgenössischen Puppentheaters stoßt ihr auf ein Preisausschreiben, das Freikarten für ein einzigartiges Showerlebnis verspricht und mit großen Worten lockt. Selbstredend nehmt ihr teil und findet nur wenige Tage später einen Umschlag in eurem Briefkasten; darin goldene Eintrittskarten. Die Inschrift lässt verlauten, dass ihr ausgewählt wurdet. Doch wofür? Neugierig begebt ihr euch zur angegebenen Adresse. Dort werdet ihr von einer zwielichtigen, buckligen Gestalt willkommen geheißen, die von einer „neuartigen Form des Puppenspiels“ spricht und euch dabei durch dunkle Gänge tief in das Gebäude hineingeleitet. Zuletzt teilt die Gestalt euch mit, dass die Vorstellung in einer Stunde beginne und ihr es euch doch schon mal gemütlich machen sollt, während sie euch eng an eng in einen düsteren Raum drängt und die Tür hinter euch ins Schloss fallen lasst. Schnell dämmert es euch, dass hier etwas nicht mit rechten Dingen zugeht und ihr fragt euch, ob ihr hier wohl mehr als nur Zuschauer sein sollt...",2,6,60,/berlin/gutscheine/,https://final-escape.com/berlin/live-escape-game-the-puppeteer/,https://final-escape.com/berlin/wp-content/uploads/sites/6/2019/09/02ThePuppeteer1.jpg,Horror,mittel,true,"ChatCompletion error: error, status code: 400, message: This model's maximum context length is 128000 tokens. However, your messages resulted in 183808 tokens (183474 in the messages, 334 in the functions). Please reduce the length of the messages or functions."
0,gpt-4o-mini,37.060777544s,1m2.577965834s,7,982667,387508,https://final-escape.com/berlin/,Final Escape Berlin,Robot Paranoia,"Die Menschheit hat es mit der künstlichen Intelligenz zu weit getrieben und befindet sich nun im Krieg gegen die Maschinen. Aufgrund ihrer intellektuellen wie physischen Überlegenheit haben es die Roboter bereits geschafft, zahlreiche Menschen einzusperren und zu unterdrücken. Doch noch gibt es Hoffnung für die Spezies Mensch: Im Untergrund der Großstadt hat sich eine Bewegung von Widerstandskämpfern geformt, die den Gehorsam vor den Maschinen verweigern und für Freiheit und Menschenrechte kämpfen. Auch ihr habt euch den Rebellen angeschlossen. Ihr könnt es spüren: Die Revolution ist zum Greifen nah! Doch dann kommt alles anders als geplant: Es scheint, als hätten die Roboter von eurem kleinen Unterschlupf im Ostteil der Stadt Wind bekommen und sind in dieser Sekunde schon auf dem Weg, um das Areal zu räumen. Ihr müsst so schnell es geht zum Stützpunkt im Stadtzentrum gelangen, um euch dort in Sicherheit zu bringen. In Kleingruppen werdet ihr vom Schleuser aus dem Versteck nach draußen geführt, doch ab hier seid ihr auf euch allein gestellt. Zu allem Übel sind es nur noch 60 Minuten bis zur Sperrstunde, wenn alle Zugänge zu Gebäuden und Straßen verriegelt werden und Menschen sich nicht mehr auf offener Straße bewegen dürfen. Schafft ihr es, in einer Stunde zur sicheren Zone im Stadtzentrum zu gelangen, oder wird auch eure Biomasse in den Energietanks der Maschinen enden?",2,6,60,https://final-escape.com/berlin/gutscheine/,https://final-escape.com/berlin/live-escape-game-robot-paranoia/,https://final-escape.com/berlin/wp-content/uploads/sites/6/2019/09/02RobotParanoia.jpg,Science Fiction,schwer,true,"ChatCompletion error: error, status code: 400, message: This model's maximum context length is 128000 tokens. However, your messages resulted in 183808 tokens (183474 in the messages, 334 in the functions). Please reduce the length of the messages or functions."
0,gpt-4o-mini,37.060777544s,1m2.577966s,7,982667,387508,https://final-escape.com/berlin/,Final Escape Berlin,Last Human,"Wir schreiben das Jahr 2067. Die Menschheit hat es geschafft sich selbst zu Grunde zu richten, alles wovor die Wissenschaft jahrelang gewarnt hat ist eingetreten. Das Wetter wurde immer extremer, die Ressourcen knapper und schließlich ist von der Erde wie wir sie kennen nicht mehr viel übrig geblieben. Ihr habt zwar die Naturkatastrophen und Hungersnöte überlebt, führt aber ein ziemlich trostloses Leben. Seit Wochen streift ihr durch das Ödland in der Hoffnung doch noch einer lebenden Seele zu begegnen. Gerade als ihr euch fragt, ob ihr an genau dieser Stelle nicht schon vor einigen Stunden vorbei gekommen seid, entdeckt ihr etwas hinter einem der staubigen Schuttberge. Ihr haltet es zunächst nur für eine Einbildung, aber als ihr näher tretet seid ihr euch sicher: Das ist eine Tür!",2,5,60,https://final-escape.com/berlin/gutscheine/,https://final-escape.com/berlin/live-escape-game-last-human/,https://final-escape.com/berlin/wp-content/uploads/sites/6/2019/09/02TrabiRace2030.jpg,Science Fiction,schwer,true,"ChatCompletion error: error, status code: 400, message: This model's maximum context length is 128000 tokens. However, your messages resulted in 183808 tokens (183474 in the messages, 334 in the functions). Please reduce the length of the messages or functions."
0,gpt-4o-mini,37.060777544s,1m2.578015875s,7,982667,387508,https://final-escape.com/berlin/,Final Escape Berlin,Das Geisterschiff,"Ihr wurdet wegen Meuterei aus eurer Piratencrew geworfen. Nun seid ihr auf der Suche nach einer neuen — doch ihr seid Piraten mit Ansprüchen. Ihr wollt gerne auf dem beliebtesten Schiff der Weltmeere anheuern. Auf eure Bewerbung hin erhaltet ihr eine Flaschenpost mit einer skurrilen Botschaft. Ihr wurdet vom Kapitän zu einer Aufnahmeprüfung eingeladen, denn er möchte erst sehen, ob ihr aus dem richtigen Holz geschnitzt seid. Voller Eifer begebt ihr euch zur vereinbarten Zeit in eine abgelegene Bucht, wo ihr bereits erwartet werdet. Bald erfahrt ihr, dass es sich bei eurer Aufgabe um eine regelrechte Mutprobe handelt: im dichten Nebel betretet ihr ein altes Schiffswrack. Gerüchten zufolge sollen die Geister der alten Crew dieses noch immer bewohnen und den einen oder anderen Gegenstand mit einem Fluch belegt haben. Es soll jedoch einen Schatz geben, der nicht verflucht ist und eure Aufgabe wird es sein, eurem neuen Kapitän diesen zu besorgen. Momentan ist die Crew an Land gegangen, um ihre Rumvorräte wieder aufzustocken. Sie wird jedoch bereits in einer Stunde zurück sein und dann solltet ihr hier nichts mehr verloren haben, wenn euch euer Leben lieb ist.",2,6,60,https://final-escape.com/berlin/gutscheine/,https://final-escape.com/berlin/live-escape-game-ghost-ship/,https://final-escape.com/berlin/wp-content/uploads/sites/6/2019/09/02DasGeisterschiff-1.jpg,Horror,mittel-schwer,true,"ChatCompletion error: error, status code: 400, message: This model's maximum context length is 128000 tokens. However, your messages resulted in 183808 tokens (183474 in the messages, 334 in the functions). Please reduce the length of the messages or functions."
1,gpt-4o-mini,18.357927709s,27.444111917s,4,2101758,111573,https://www.60-minutes.de/,60 MINUTES,DIE EXPEDITION,"Auf den Spuren des Prof. Jones. Die Welt steht kurz vor einer apokalyptischen Sonnenfinsternis. Ihr seid ein Forscherteam und auf den Spuren des verschollenen Professors I. Jones durch den Dschungel von Mexiko gereist um das geheime Maya-Relikt zu finden, das einzige das die ewige Dunkelheit noch verhindern kann.",2,6,60,https://www.60-minutes.de/buchung,https://www.60-minutes.de/expedition,https://static.wixstatic.com/media/dda0bb_34029e0f80d54af380804425383776ae~mv2.jpg,Adventure,Mittel,false,
1,gpt-4o-mini,18.357927709s,27.444112542s,4,2101758,111573,https://www.60-minutes.de/,60 MINUTES,LAGERHAUS 57,"Ihr seid Special-Agents und sollt im Lagerhaus 57, ein geheimes Lager der Regierung, in dem besondere Artefakte gelagert werden, dem Saboteur das Handwerk legen und die brisanten Gegenstände retten. Bis der Selbstzerstörungsmechanismus aktiviert wird, habt Ihr genau 60 Minuten Zeit…",3,7,60,https://www.60-minutes.de/buchung,https://www.60-minutes.de/lagerhaus-57,https://static.wixstatic.com/media/dda0bb_5ef8c60b8c2f4588b9c56545ec33c354~mv2.jpg,Crime,Mittel,false,
1,gpt-4o-mini,18.357927709s,27.444112792s,4,2101758,111573,https://www.60-minutes.de/,60 MINUTES,GEISTERSTUNDE,"Ihr betretet pünktlich zur Geisterstunde das Anwesen von Ende(n)ich. Seltsame Stimmen sind zu hören und merkwürdige Dinge geschehen... Habt Ihr den Mut, dem Spuk, der dort umgeht, ein Ende zu bereiten?",2,6,60,https://www.60-minutes.de/buchung,https://www.60-minutes.de/geisterstunde,https://static.wixstatic.com/media/dda0bb_dbb4a5d5453347f3bc3552641e47fc4a~mv2.jpg,Horror,Leicht,false,
2,gpt-4o-mini,11.094310458s,21.977961459s,4,706027,89057,https://www.4walls-escape.com/,4Walls Escape,The Heist,"An inexplicable discovery in Italy: the missing painting ""Portrait of a Woman"" turned up again, not far from the gallery where it was once exhibited! Reveal as a team of investigators the most spectacular art theft in criminal history!",2,6,120,https://www.4walls-escape.com/the-heist,https://www.4walls-escape.com/the-heist,https://www.4walls-escape.com/img/game-11/teaser.jpg.jpg,Crime,4/5,false,
